asset_id,event_idx_clean,true_state,reader_state,timestamp,rssi,phase,is_duplicate,is_false_read,is_delayed,sensor_corrupted,event_idx_obs,diag_class,operational_anomaly,sensing_anomaly,op_type,delta_t,phase_sin,phase_cos
0,0,0,0,1.3012926552089084,-44.33735889382584,0.06872663146165527,0,0,0,0,0,2,1,0,unauthorized_jump,0.0,0.06867254091667713,0.9976392545023713
0,0,0,0,1.332893184098365,-44.33735889382584,0.06872663146165527,1,0,0,1,1,2,1,0,unauthorized_jump,0.03160052888945675,0.06867254091667713,0.9976392545023713
0,1,1,1,2.3377363333220806,-41.247837875881714,0.9612154901647116,0,0,0,0,2,2,1,0,unauthorized_jump,1.0048431492237155,0.8198880708882518,0.5725238433595067
0,2,2,2,3.1252675256821942,-49.976899240702934,1.7324237604096322,0,0,0,0,3,2,1,0,unauthorized_jump,0.7875311923601136,0.9869666963299256,-0.1609246417910957
0,3,5,5,4.143928093284807,-65.22931814750974,4.313739944246528,0,0,0,0,4,2,1,0,unauthorized_jump,1.018660567602613,-0.9215862434348251,-0.38817366720539825
0,4,6,7,4.930082633674655,-65.16696298533276,4.927822304998837,0,1,0,1,5,2,1,0,unauthorized_jump,0.7861545403898473,-0.9768838537941725,0.21377075617643734
0,5,7,7,6.208938833262112,-75.69281546062541,5.677670191972065,0,0,0,0,6,2,1,0,unauthorized_jump,1.278856199587457,-0.5691856841201632,0.822209010527531
1,0,0,0,1.3114297303496971,-42.46543856965185,0.1387167763646477,0,0,0,0,0,0,0,0,none,0.0,0.13827233153230056,0.9903942459104967
1,1,1,1,2.3580548943421813,-45.945705665628566,1.0164187159297664,0,0,0,0,1,0,0,0,none,1.0466251639924842,0.8502282394211852,0.5264142293771625
1,2,2,2,3.6067976202389644,-53.413270712680706,1.8563997888256245,0,0,0,0,2,0,0,0,none,1.2487427258967831,0.959491810082916,-0.281736519435819
1,3,3,3,4.878343319878907,-53.20465826085676,2.3370367688740457,0,0,0,0,3,0,0,0,none,1.2715456996399421,0.7205227506283223,-0.6934312985631644
1,4,4,4,5.606440740706082,-64.38061048683961,3.5108262582196983,0,0,0,0,4,0,0,0,none,0.7280974208271758,-0.3609007944742729,-0.9326042121649669
1,5,5,5,6.647125798898658,-64.06181784716317,4.186272934908353,0,0,0,0,5,0,0,0,none,1.040685058192576,-0.8647640263272075,-0.5021784331991536
1,6,6,6,7.692516940430684,-66.64050623292759,4.979137394223013,0,0,0,0,6,0,0,0,none,1.0453911415320256,-0.964633100205979,0.26359624805182946
1,7,7,7,8.828952959788365,-75.63383357687378,5.605800416379839,0,0,0,0,7,0,0,0,none,1.1364360193576815,-0.6267574386730833,0.7792144204697166
2,1,1,1,1.9269379831650393,-50.213702226107614,0.8827765781019232,0,0,0,0,0,1,0,1,none,0.0,0.7725050055806192,0.6350086742343662
2,2,3,3,3.049972758028421,-60.36131686760986,2.80920835983405,0,0,0,0,1,1,0,1,none,1.1230347748633815,0.3262977480413882,-0.9452670414349158
2,3,4,4,4.1278129423291805,-57.725437230757066,3.177635169906456,0,0,0,0,2,1,0,1,none,1.0778401843007597,-0.03603471324039091,-0.9993505388209298
