Coverage,SelectiveRisk
0.05,0.2381
0.0762,0.3438
0.1,0.381
0.1238,0.3462
0.1476,0.3065
0.1714,0.2917
0.1976,0.2892
0.2214,0.3011
0.2452,0.3107
0.269,0.3186
0.2952,0.3065
0.319,0.3358
0.3429,0.3542
0.3667,0.3636
0.3905,0.372
0.4167,0.3829
0.4405,0.373
0.4643,0.3692
0.4881,0.3707
0.5119,0.386
0.5381,0.3938
0.5619,0.3983
0.5857,0.4106
0.6095,0.4219
0.6333,0.4286
0.6595,0.4332
0.6833,0.4355
0.7071,0.4444
0.731,0.456
0.7548,0.4669
0.781,0.4726
0.8048,0.4734
0.8286,0.4741
0.8524,0.4777
0.8762,0.4837
0.9024,0.4908
0.9262,0.4961
0.95,0.5038
0.9738,0.5159
1.0,0.5262
