ProposedSimilarity,RawReaderSimilarity,ExactRouteRate,GraphInconsistency,MeanRepairCost,SensingAUROC,OperationalAUROC,Axis,Level
0.943,0.8552,0.6786,0.0169,0.224,0.6505,0.8456,MissingReads,0.0
0.8921,0.818,0.4957,0.0269,0.556,0.6103,0.8341,MissingReads,0.11
0.8314,0.7662,0.3086,0.0443,0.992,0.5648,0.8004,MissingReads,0.22
0.7379,0.6912,0.1629,0.0598,1.444,0.6016,0.7303,MissingReads,0.33
0.6277,0.6128,0.0786,0.0547,2.116,0.6264,0.6906,MissingReads,0.44
0.504,0.5204,0.0157,0.0594,2.892,0.6023,0.6465,MissingReads,0.55
0.8893,0.819,0.4529,0.0263,0.412,0.601,0.8123,Duplicates,0.0
0.9066,0.8247,0.5257,0.0265,0.416,0.6138,0.834,Duplicates,0.11
0.8925,0.8107,0.4771,0.0266,0.576,0.5753,0.7818,Duplicates,0.22
0.9134,0.8113,0.5357,0.0297,0.444,0.579,0.8176,Duplicates,0.33
0.9128,0.8114,0.54,0.0233,0.444,0.5761,0.7751,Duplicates,0.44
0.9139,0.804,0.5457,0.0226,0.528,0.5524,0.824,Duplicates,0.55
0.8895,0.8761,0.4629,0.032,0.616,0.4991,0.8383,FalseReads,0.0
0.9031,0.7935,0.5157,0.0246,0.456,0.6331,0.8311,FalseReads,0.07
0.895,0.7361,0.48,0.0206,0.528,0.6885,0.8284,FalseReads,0.14
0.9126,0.6816,0.5414,0.0199,0.412,0.7613,0.8063,FalseReads,0.21
0.9001,0.6293,0.4929,0.0159,0.448,0.8088,0.7877,FalseReads,0.28
0.9041,0.5793,0.52,0.0134,0.436,0.901,0.7575,FalseReads,0.35
0.9006,0.8135,0.4914,0.0266,0.556,0.5874,0.8514,RSSINoise,0.5
0.8905,0.8154,0.4529,0.0267,0.592,0.6031,0.8279,RSSINoise,2.8
0.8897,0.8128,0.4757,0.0315,0.556,0.5536,0.8227,RSSINoise,5.1
0.8977,0.8199,0.4986,0.0271,0.488,0.5696,0.7997,RSSINoise,7.4
0.8982,0.8279,0.5014,0.023,0.428,0.5755,0.8277,RSSINoise,9.7
0.8917,0.8144,0.4714,0.0242,0.584,0.5888,0.7945,RSSINoise,12.0
0.9071,0.8502,0.5186,0.0235,0.48,0.5879,0.7929,TimingDelay,0.0
0.8923,0.8129,0.4686,0.0232,0.508,0.5945,0.8127,TimingDelay,0.1
0.8707,0.7753,0.3929,0.0383,0.728,0.5709,0.8271,TimingDelay,0.2
0.8781,0.756,0.42,0.03,0.624,0.6287,0.7989,TimingDelay,0.3
0.8746,0.7398,0.4043,0.0213,0.52,0.5985,0.8167,TimingDelay,0.4
0.8658,0.7181,0.3414,0.0239,0.716,0.629,0.8128,TimingDelay,0.5
0.9204,0.8375,0.56,0.0214,0.492,0.6459,0.8377,ReaderOutage,0.0
0.8608,0.7891,0.3857,0.0355,0.812,0.6029,0.8024,ReaderOutage,0.07
0.8074,0.7366,0.2343,0.0477,1.076,0.577,0.7783,ReaderOutage,0.14
0.7374,0.6773,0.1471,0.0513,1.568,0.4121,0.749,ReaderOutage,0.21
0.6729,0.6312,0.1,0.0705,1.776,0.493,0.7302,ReaderOutage,0.28
0.6024,0.5641,0.0671,0.0683,2.208,0.4077,0.6803,ReaderOutage,0.35
