controller,seed,step,phase,J_full,J_control,coverage,concentration,entropy,eig,movement,latency,zone_accuracy,infeasible_proposals,baseline_coverage
Fixed,0,0,before,1.727369811877861,1.727369811877861,0.875,0.8049518091562529,0.3704254127433162,0.2946669731973569,0.0,0.15,0.55,0,0.85
Fixed,0,1,before,1.6502618550888453,1.6502618550888453,0.8416666666666667,0.7686714485966701,0.4320598422056386,0.31181643028162853,0.0,0.15,0.5,0,0.85
Fixed,0,2,before,1.73976178412392,1.73976178412392,0.875,0.806772069031936,0.3621832565327646,0.3083228545175847,0.0,0.15,0.5583333333333333,0,0.85
Fixed,0,3,before,1.698831925033317,1.698831925033317,0.8583333333333333,0.7939860193834513,0.4036115476825581,0.30911707995660254,0.0,0.15,0.49166666666666664,0,0.85
Fixed,0,4,before,1.7083238921295718,1.7083238921295718,0.8833333333333333,0.7845675571187731,0.40693234897689956,0.30056476341119875,0.0,0.15,0.5583333333333333,0,0.85
Fixed,0,5,before,1.6754975926667321,1.6754975926667321,0.825,0.7900569326673867,0.3815224571627768,0.3217079523110789,0.0,0.15,0.5333333333333333,0,0.85
Fixed,0,6,before,1.6808632324114443,1.6808632324114443,0.8666666666666667,0.7816920550548162,0.4013914413348373,0.2847026651062832,0.0,0.15,0.5333333333333333,0,0.85
Fixed,0,7,before,1.7459415472665314,1.7459415472665314,0.8833333333333333,0.7907430463772881,0.3974685276295586,0.34841723716671724,0.0,0.15,0.525,0,0.85
Fixed,0,8,before,1.6849807036317066,1.6849807036317066,0.8166666666666667,0.795519200543053,0.3721653197515041,0.337798414435428,0.0,0.15,0.4666666666666667,0,0.85
Fixed,0,9,before,1.684347827222063,1.684347827222063,0.875,0.7711162184026821,0.42477880883753183,0.30549477502717803,0.0,0.15,0.525,0,0.85
Fixed,0,10,before,1.725718487625648,1.725718487625648,0.85,0.7918038354520462,0.38841173172159943,0.3641443133486186,0.0,0.15,0.55,0,0.85
Fixed,0,11,before,1.7177738756280247,1.7177738756280247,0.8666666666666667,0.8044314815551882,0.3645130931212558,0.2905866229386602,0.0,0.15,0.525,0,0.85
Fixed,0,12,after,1.4378157537518623,1.4378157537518623,0.6583333333333333,0.7456917819264919,0.42650563460137075,0.29892358547026127,0.0,0.15,0.35,0,0.85
